DATA,MODEL,LP,ACC,Gmacro,Fmacro,MCC
australian,RF,0.05,0.7553623188405797,0.7395352786521558,0.7275596967444586,0.5294992998359811
australian,RF,0.1,0.8171014492753622,0.8073124803626035,0.8071625054448892,0.6356749785653665
australian,RF,0.15,0.8365217391304348,0.8312296164797031,0.8319169346794926,0.6772252106010306
australian,RF,0.2,0.8504347826086956,0.846295126709259,0.8467962628149037,0.7013756465854414
australian,RF,0.3,0.8478260869565217,0.8406996290504145,0.8435601948749216,0.6935974687068333
australian,RF,0.4,0.8628985507246376,0.8589694704035826,0.8603213412830761,0.7241654990247743
australian,RF,0.5,0.8576811594202898,0.8527482532855281,0.8546785683098317,0.7126446709935212
australian,RF,0.6,0.8663768115942029,0.8633560141095943,0.8642600000106236,0.7295412622085754
australian,RF,0.7,0.8649275362318841,0.8615490979629993,0.8625319017759356,0.7273188638856641
australian,RF,0.8,0.8634782608695651,0.8592750975231438,0.8609034103088339,0.7237949368465835
australian,RF,0.9,0.8678260869565217,0.8642873895056198,0.8654823284282749,0.732628884886228
australian,RF,0.99,0.8689855072463768,0.8661765462769274,0.8669160670503914,0.7351335005679032
australian,RotF,0.05,0.7840579710144928,0.776076416803434,0.7724344704907397,0.5776190276633356
australian,RotF,0.1,0.8266666666666665,0.8225752151864235,0.8215549379688216,0.6567896854884905
australian,RotF,0.15,0.8240579710144929,0.8240566942606806,0.8214756599728613,0.6524956067990828
australian,RotF,0.2,0.8481159420289854,0.8464669258053055,0.8454480565201171,0.6972777063229852
australian,RotF,0.3,0.8507246376811594,0.847134791714163,0.8480298680808369,0.6983480473321686
australian,RotF,0.4,0.8582608695652174,0.8577687283266473,0.8566442371490307,0.7162276885475775
australian,RotF,0.5,0.8565217391304347,0.8544080441553108,0.8545495365453263,0.7104184315195168
australian,RotF,0.6,0.8544927536231883,0.8538992508791555,0.8530092281524162,0.7068140165939368
australian,RotF,0.7,0.8559420289855073,0.8547415181168454,0.8542156644945165,0.7095621362697836
australian,RotF,0.8,0.8556521739130435,0.8535182774025841,0.8536457180775902,0.708715898243991
australian,RotF,0.9,0.8623188405797102,0.860386720331477,0.8604744324606838,0.7217900454270871
australian,RotF,0.99,0.8597101449275362,0.8579609765630035,0.8579018865366065,0.7167427367093148
australian,SSRF,0.05,0.7605797101449275,0.7419038489880325,0.7260424167211779,0.529326629341159
australian,SSRF,0.1,0.826086956521739,0.8170241454010606,0.8186206320753178,0.6535006929837669
australian,SSRF,0.15,0.8400000000000001,0.8349412788378083,0.8355749298591885,0.684990147290398
australian,SSRF,0.2,0.8513043478260869,0.8471321471234854,0.8476799768832806,0.702995337618168
australian,SSRF,0.3,0.8533333333333333,0.8453668583687639,0.8488356327079082,0.7054750160882964
australian,SSRF,0.4,0.8640579710144927,0.8589602606868546,0.8611178490119944,0.7261706177396
australian,SSRF,0.5,0.86,0.8537817660580018,0.8565837178900033,0.7170181846357185
australian,SSRF,0.6,0.8649275362318841,0.8608340720966318,0.8624248231084678,0.7268041643291834
australian,SSRF,0.7,0.8695652173913043,0.8646274473417798,0.8668272800174112,0.7364164090106939
australian,SSRF,0.8,0.867536231884058,0.8617710817866732,0.8643826234612864,0.7327047195142272
australian,SSRF,0.9,0.8684057971014493,0.8634014929448695,0.8656068394676877,0.7340053591333786
australian,SSRF,0.99,0.8692753623188405,0.8650309916724106,0.8667980016756927,0.735741990428818
australian,SSRotF,0.05,0.7692753623188405,0.7570715736715121,0.7457894538130982,0.5480846135310926
australian,SSRotF,0.1,0.8284057971014492,0.8215115904663467,0.8222375518122769,0.6583311647325749
australian,SSRotF,0.15,0.8431884057971015,0.841121568857989,0.8401836486751852,0.6918876340004814
australian,SSRotF,0.2,0.8542028985507246,0.8508516026393105,0.8508348455750776,0.7100613038264807
australian,SSRotF,0.3,0.8565217391304347,0.8510832419791651,0.8530592950399738,0.7112652954806122
australian,SSRotF,0.4,0.8678260869565217,0.8653403879499603,0.8657870072573475,0.7340119981570059
australian,SSRotF,0.5,0.8628985507246376,0.8595065875687892,0.860569346121778,0.7229516255089153
australian,SSRotF,0.6,0.8646376811594203,0.8629080443358527,0.8628868024236119,0.7263389637397011
australian,SSRotF,0.7,0.8686956521739131,0.8665619044897032,0.8667954946229333,0.7348985573657709
australian,SSRotF,0.8,0.8669565217391304,0.8644824545417882,0.864947994313875,0.7312137981238859
australian,SSRotF,0.9,0.872463768115942,0.8705424717582575,0.8707038596115216,0.7423084885705231
australian,SSRotF,0.99,0.869855072463768,0.8681284045329221,0.8681442010659021,0.7369752595007636
australian,ST(RF),0.05,0.727536231884058,0.7135442789681318,0.683621453123502,0.47657214198957976
australian,ST(RF),0.1,0.8040579710144927,0.7950887645733369,0.7890531268174291,0.6202045073373476
australian,ST(RF),0.15,0.8347826086956521,0.826140599078359,0.8279555703690388,0.6777596704970924
australian,ST(RF),0.2,0.8417391304347825,0.8365009134305792,0.8367821461777764,0.6885654357366151
australian,ST(RF),0.3,0.8501449275362318,0.8422479776953619,0.8448933443300213,0.7021968188929718
australian,ST(RF),0.4,0.8657971014492754,0.8615827301291767,0.8629443205392177,0.7314607047921738
australian,ST(RF),0.5,0.8591304347826088,0.8542312926578692,0.8560885085962902,0.7156990079456749
australian,ST(RF),0.6,0.8666666666666666,0.8646177491205114,0.8647879112720986,0.7309611158618614
australian,ST(RF),0.7,0.8620289855072464,0.8588864340060155,0.8597570671701977,0.721253877205154
australian,ST(RF),0.8,0.8681159420289856,0.8646084255235491,0.8657987262152631,0.7334793464264455
